#,Date,Year,Time,Latitude,Longitude,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),States Affected,Name,Category,Adjusted Costs,County,State,FIPS code,Annual HPI Change (%),HPI,County & State,PerCapita Income,Year -2,Year -1,Year +1,Year +2,Year +3,Annual HPI Change (%) -1,Annual HPI Change (%) +1,Annual HPI Change (%) +2,Annual HPI Change (%) +3,PerCapita Income -2,PerCapita Income -1,PerCapita Income +1,PerCapita Income +2,PerCapita Income +3,Annual Income Change (%) -1,Annual Income Change (%),Annual Income Change (%) +1,Annual Income Change (%) +2,Annual Income Change (%) +3,National HPI AC Mean,National HPI AC Mean -1,National HPI AC Mean +1,National HPI AC Mean +2,National HPI AC Mean +3,State HPI AC Mean,State HPI AC Mean -1,State HPI AC Mean +1,State HPI AC Mean +2,State HPI AC Mean +3,State Income AC Mean,State Income AC Mean -1,State Income AC Mean +1,State Income AC Mean +2,State Income AC Mean +3
3.0,8/18/83,1983,0700Z,29.1,-95.1,100.0,3.0,10,962,CTX3,Alicia,3.0,$9.4B,Galveston,TX,48167,2.17,164.63,"Galveston, TX",27298.81,1981.0,1982.0,1984.0,1985.0,1986.0,-2.03,1.64,-4.4,-1.16,23757.0,26082.76,29340.55,30531.12,31112.26,9.789788272930076,4.662275004639091,7.479227116493349,4.057763061701296,1.9034349214833897,7.350131926121372,0.7150647482014388,3.6309259259259257,3.3046534653465343,4.33764705882353,9.237719298245613,3.585925925925926,1.36421875,0.36545454545454537,0.4458571428571429,3.1674517768395285,6.8711594559977005,7.170353205819877,5.500886239019919,-10.866751484064244
5.0,9/2/85,1985,1300Z,30.4,-89.2,100.0,3.0,10,959,"AL3,MS3,AFL3",Elena,3.0,$3.8B,Harrison,MS,28047,7.97,191.15,"Harrison, MS",19473.11,1983.0,1984.0,1986.0,1987.0,1988.0,4.57,3.03,-5.08,-0.86,17316.3,18440.68,20579.73,21226.86,22139.49,6.493188498697765,5.598654713383673,5.682810809367374,3.1445018957974717,4.299411217674216,3.3046534653465343,3.6309259259259257,4.33764705882353,3.2723048869438367,3.5832108743570905,6.701818181818182,2.2936363636363635,0.5000000000000001,2.1669565217391304,-1.5878260869565215,-1.5813362847020374,9.094873838973157,-21.53814656003699,5.288352311761965,7.150733686259079
11.0,9/22/89,1989,0400Z,32.8,-79.8,120.0,4.0,20,934,"SC4,INC1",Hugo,4.0,$22.7B,Charleston,SC,45019,4.13,274.79,"Charleston, SC",49382.78,1987.0,1988.0,1990.0,1991.0,1992.0,5.89,4.0,2.84,2.4,42926.6,45928.31,53736.43,56151.47,59345.64,6.992657233510223,7.521439391085806,8.81612983311187,4.494232311301665,5.688488653992493,4.637414814814815,3.5832108743570905,3.369175784099198,2.9112464387464385,2.990404964075768,3.666923076923077,3.210769230769231,3.2892592592592593,2.433703703703704,2.3610344827586207,8.279549554505573,9.064073487126656,7.272028703269905,-0.9878164311699432,-7.64585650894187
4.0,8/24/92,1992,0905Z,25.5,-80.3,145.0,5.0,10,922,"CFL5,BFL4",Andrew,5.0,$60.2B,Miami-Dade,FL,12086,2.86,246.02,"Miami-Dade, FL",385955.82,1990.0,1991.0,1993.0,1994.0,1995.0,2.09,6.14,4.36,4.63,356451.63,370009.65,405013.48,420738.53,447754.39,3.803607238379025,4.309663274998363,4.937782775240953,3.882599166822805,6.421056802190184,2.990404964075768,2.9112464387464385,3.4537109375,4.485092497430627,5.729116445352401,2.3587499999999997,1.079,2.001818181818182,0.7631914893617021,3.3189361702127655,-0.21560593590873658,4.983357418078614,-0.9444968000006227,6.112222109033926,3.7521502558440774
17.0,10/4/95,1995,2200Z,30.3,-87.1,100.0,3.0,50,942,"AFL3,IAL1",Opal,3.0,$9.6B,Escambia,FL,12033,4.78,213.16,"Escambia, FL",54831.4,1993.0,1994.0,1996.0,1997.0,1998.0,3.43,5.35,5.62,3.3,50282.29,51871.65,58648.14,61972.58,65852.38,3.160874335675644,5.705910646759839,6.9608654894823,5.668449161388583,6.260510696827537,5.729116445352401,4.485092497430627,4.0059307576517815,4.197425934919864,3.915739419876367,3.3189361702127655,0.7631914893617021,3.6388,3.3373584905660376,4.533207547169811,3.7521502558440774,6.112222109033926,1.1547374459162847,6.397695846897106,2.340025939052886
6.0,9/6/96,1996,0030Z,33.9,-78.0,100.0,3.0,40,954,NC3,Fran,3.0,$10.0B,Brunswick,NC,37019,5.59,203.54,"Brunswick, NC",11898.7,1994.0,1995.0,1997.0,1998.0,1999.0,8.11,8.86,7.2,6.14,9747.71,10811.48,13194.24,14579.64,15674.26,10.913024700160353,10.056162523539804,10.88808021044315,10.500036379511055,7.507867135265349,4.0059307576517815,5.729116445352401,4.197425934919864,3.915739419876367,3.7399017513882957,3.8228915662650604,5.911772151898734,4.788235294117647,4.212068965517242,3.7282105263157894,5.079539012298312,3.0000181893686504,4.977479317501215,-1.3326944174304245,2.5336779031631784
7.0,9/25/98,1998,1530Z,24.5,-81.8,90.0,2.0,25,981,BFL2,Georges,2.0,$11.5B,Monroe,FL,12087,7.37,313.55,"Monroe, FL",28208.84,1996.0,1997.0,1999.0,2000.0,2001.0,6.2,5.86,14.89,11.29,24428.11,25659.03,28535.08,31506.09,32496.03,5.0389489813170085,9.937281339162087,1.1565168932859402,10.41178086761978,3.1420592018876308,3.915739419876367,4.197425934919864,3.7399017513882957,5.013174872665535,5.292247143461701,4.533207547169811,3.3373584905660376,3.443035714285714,5.841428571428572,8.74767857142857,2.340025939052886,6.397695846897106,4.5816278741896665,7.039608155837551,2.332215396111687
7.0,9/28/98,1998,1130Z,30.4,-88.9,90.0,2.0,80,964,MS2,Georges,2.0,$11.5B,Harrison,MS,28047,5.31,256.11,"Harrison, MS",42621.37,1996.0,1997.0,1999.0,2000.0,2001.0,4.08,5.74,5.58,4.21,37238.88,39177.91,45767.25,48670.64,48573.83,5.207004077458845,8.789289678801138,7.3809922111841955,6.343815719755938,-0.198908417888069,3.915739419876367,4.197425934919864,3.7399017513882957,5.013174872665535,5.292247143461701,4.278913043478261,4.939347826086957,5.001818181818182,3.338909090909091,4.560892857142857,-1.442140836914961,5.786835448414246,3.2392837419376543,3.263067091885738,-1.8007266564943383
8.0,9/16/99,1999,0630Z,33.8,-78.0,90.0,2.0,35,956,NC2,Floyd,2.0,$12.1B,Brunswick,NC,37019,6.14,252.09,"Brunswick, NC",15674.26,1997.0,1998.0,2000.0,2001.0,2002.0,7.2,8.12,5.06,3.59,13194.24,14579.64,16879.83,18605.27,18911.24,10.500036379511055,7.507867135265349,7.691399785380628,10.221903893581857,1.644534048686212,3.7399017513882957,3.915739419876367,5.013174872665535,5.292247143461701,3.6861313291139246,3.7282105263157894,4.212068965517242,5.468350515463917,5.113979591836735,3.0625252525252527,2.5336779031631784,-1.3326944174304245,5.065093701020766,3.979576179757016,0.6279180120832102
13.0,9/18/03,2003,1700Z,34.9,-76.2,90.0,2.0,40,957,NC2,Isabel,2.0,$9.3B,Carteret,NC,37031,4.73,214.98,"Carteret, NC",17994.53,2001.0,2002.0,2004.0,2005.0,2006.0,3.61,8.95,22.29,17.93,16472.39,16838.54,19375.86,20605.54,22276.32,2.2228104118467416,6.865143890147234,7.676388324674231,6.34645378321272,8.108401915213086,3.0273209446380176,3.6861313291139246,6.075588124765126,8.569650769808487,7.014054763690923,2.1795959595959595,3.0625252525252527,5.103434343434343,7.498888888888889,8.108686868686869,3.7087392886398125,0.6279180120832102,7.323197415702111,6.033530101243534,5.762070276856477
