# in Season,Year,Latitude,Longitude,Max Winds (kt),Category at Landfall,Central Prssure (mb),Storm Name,County,State,FIPS code,Annual HPI Change (%),HPI,County & State,PerCapita Income,Total Jobs,Year -2,Year -1,Year +1,Year +2,Year +3,Annual HPI Change (%) -1,Annual HPI Change (%) +1,Annual HPI Change (%) +2,Annual HPI Change (%) +3,PerCapita Income -2,PerCapita Income -1,PerCapita Income +1,PerCapita Income +2,PerCapita Income +3,Total Jobs -2,Total Jobs -1,Total Jobs +1,Total Jobs +2,Total Jobs +3,Annual Income Change (%) -1,Annual Income Change (%),Annual Income Change (%) +1,Annual Income Change (%) +2,Annual Income Change (%) +3,Annual Jobs Change (%) -1,Annual Jobs Change (%),Annual Jobs Change (%) +1,Annual Jobs Change (%) +2,Annual Jobs Change (%) +3,National HPI AC Mean,National HPI AC Mean -1,National HPI AC Mean +1,National HPI AC Mean +2,National HPI AC Mean +3,State HPI AC Mean,State HPI AC Mean -1,State HPI AC Mean +1,State HPI AC Mean +2,State HPI AC Mean +3,National Income AC Mean,National Income AC Mean -1,National Income AC Mean +1,National Income AC Mean +2,National Income AC Mean +3,State Income AC Mean,State Income AC Mean -1,State Income AC Mean +1,State Income AC Mean +2,State Income AC Mean +3,National Jobs AC Mean,National Jobs AC Mean -1,National Jobs AC Mean +1,National Jobs AC Mean +2,National Jobs AC Mean +3,State Jobs AC Mean,State Jobs AC Mean -1,State Jobs AC Mean +1,State Jobs AC Mean +2,State Jobs AC Mean +3,Max Category,Adjusted Costs (Billions)
3,1983,29.1,-95.1,100,3,962,Alicia,Galveston,TX,48167,2.17,164.63,"Galveston, TX",27298.81,84159.0,1981.0,1982.0,1984.0,1985.0,1986.0,-2.03,1.64,-4.4,-1.16,23757.0,26082.76,29340.55,30531.12,31112.26,84887.0,84740.0,86062.0,85814.0,85013.0,9.789788272930076,4.662275004639091,7.479227116493349,4.057763061701296,1.9034349214833897,-0.1731713925571642,-0.6856266226103376,2.2611960693449307,-0.2881643466338221,-0.9334141282308248,7.2812573099415205,0.6691189427312775,3.6851599999999998,3.419117305458769,4.337632743362832,9.823584905660377,3.4242307692307694,1.5650877192982457,0.08453124999999989,0.7953846153846154,7.169918247055396,7.332994201554088,10.232273390379781,6.85539823583093,6.85539823583093,7.5839913976013404,10.109532548232353,8.667855520982659,8.529657856577426,1.6825301531949453,1.6962197840693847,-0.12648073638551816,4.441057216038935,2.850772161827689,1.8788073633860538,0.07324108674036489,2.426554177431203,4.555847234398568,4.271439257978988,-1.9430879321155743,3,9.4
5,1985,30.4,-89.2,100,3,959,Elena,Harrison,MS,28047,7.97,191.15,"Harrison, MS",19473.11,84670.0,1983.0,1984.0,1986.0,1987.0,1988.0,4.57,3.03,-5.08,-0.86,17316.3,18440.68,20579.73,21226.86,22139.49,82278.0,84327.0,87576.0,87205.0,87371.0,6.493188498697765,5.598654713383673,5.682810809367374,3.1445018957974717,4.299411217674216,2.490337635820025,0.4067499140251639,3.4321483406165108,-0.4236320453092171,0.1903560575655065,3.419117305458769,3.6851599999999998,4.337632743362832,3.508740384615385,3.799332321699545,6.701818181818182,3.4044444444444446,0.7127272727272728,0.9692307692307693,-1.0259090909090909,6.85539823583093,10.232273390379781,5.434462833908519,5.179146600224254,5.179146600224254,6.610489994469464,9.874679757426348,5.863673591610501,6.080696607544976,7.166571087046089,2.850772161827689,4.441057216038935,1.8788073633860538,3.00831517762194,3.041203262384582,4.169243295370382,5.597101350562607,3.5826798592949953,2.6539484202960586,2.6640733598274156,3,3.8
11,1989,32.8,-79.8,120,4,934,Hugo,Charleston,SC,45019,4.13,274.79,"Charleston, SC",49382.78,216885.0,1987.0,1988.0,1990.0,1991.0,1992.0,5.89,4.0,2.84,2.4,42926.6,45928.31,53736.43,56151.47,59345.64,207735.0,213761.0,228317.0,227932.0,223440.0,6.992657233510223,7.521439391085806,8.81612983311187,4.494232311301665,5.688488653992493,2.900811129564108,1.4614452589574338,5.270996150033428,-0.1686252009267816,-1.9707632100801995,4.570361445783132,3.799332321699545,3.3465517241379312,2.8644744525547443,2.993328581610834,3.666923076923077,3.210769230769231,3.271153846153846,2.433703703703704,2.382962962962963,8.448253458007427,7.501721168285235,5.982248136292825,4.5690240163244065,4.5690240163244065,9.140761730072557,9.064073487126656,7.3446412693303,4.634695762619142,6.351900910407805,2.3659333707922428,3.041203262384582,2.21278578171603,0.5539789559683256,1.432789667614195,2.493086199239035,3.8580767753401535,2.943121210397799,-1.3578631947616115,0.6591080872364599,4,22.7
4,1992,25.5,-80.3,145,5,922,Andrew,Miami-Dade,FL,12086,2.86,246.02,"Miami-Dade, FL",385955.82,1040927.0,1990.0,1991.0,1993.0,1994.0,1995.0,2.09,6.14,4.36,4.63,356451.63,370009.65,405013.48,420738.53,447754.39,1063522.0,1046561.0,1075334.0,1091758.0,1116427.0,3.803607238379025,4.309663274998363,4.937782775240953,3.882599166822805,6.421056802190184,-1.5947954062069238,-0.5383346025697499,3.305419112003051,1.5273394126848032,2.2595666805281023,2.993328581610834,2.8644744525547443,3.384235294117647,4.436508114157807,5.657708978328173,2.3587499999999997,1.079,1.8265,0.7688636363636363,3.3189361702127655,7.29192038023299,4.5690240163244065,5.141018276408775,6.40160314031083,6.40160314031083,6.33307110884518,4.983357418078614,6.236195947016173,6.000268006814367,7.768202379916087,1.432789667614195,0.5539789559683256,2.6464772677564157,3.3333673106447814,2.978020460047574,1.513115709367892,0.599037300685232,3.54858831946409,3.6850737997210428,3.825203981296424,5,60.2
17,1995,30.3,-87.1,100,3,942,Opal,Escambia,FL,12033,4.78,213.16,"Escambia, FL",54831.4,150901.0,1993.0,1994.0,1996.0,1997.0,1998.0,3.43,5.35,5.62,3.3,50282.29,51871.65,58648.14,61972.58,65852.38,144276.0,146855.0,155210.0,162085.0,168903.0,3.160874335675644,5.705910646759839,6.9608654894823,5.668449161388583,6.260510696827537,1.7875460922121489,2.755098566613326,2.855514542647166,4.429482636428065,4.206434895270999,5.657708978328173,4.436508114157807,3.970209825997953,4.136207935710698,3.910413223140496,3.3189361702127655,0.7688636363636363,3.0119148936170212,3.1686,4.533207547169811,5.124349347421101,6.40160314031083,6.679530996986705,5.67333804989684,5.67333804989684,7.768202379916087,6.000268006814367,6.536517021213749,6.529043543798591,7.7380660344615935,2.978020460047574,3.3333673106447814,1.9792739287194125,2.310141406644813,2.043440399309318,3.825203981296424,3.6850737997210428,3.714624804300109,3.7935124468376062,3.2395563022306115,3,9.6
6,1996,33.9,-78.0,100,3,954,Fran,Brunswick,NC,37019,5.59,203.54,"Brunswick, NC",11898.7,26300.0,1994.0,1995.0,1997.0,1998.0,1999.0,8.11,8.86,7.2,6.14,9747.71,10811.48,13194.24,14579.64,15674.26,23791.0,25013.0,28428.0,30220.0,31502.0,10.913024700160353,10.056162523539804,10.88808021044315,10.500036379511055,7.507867135265349,5.136396116178387,5.145324431295726,8.091254752851711,6.303644294357675,4.242223692918596,3.970209825997953,5.657708978328173,4.136207935710698,3.910413223140496,3.731761066158972,3.770632911392405,5.80076923076923,4.8503614457831326,4.127529411764706,3.7980459770114945,6.679530996986705,5.124349347421101,5.67333804989684,5.9181799451790145,5.9181799451790145,6.78615950066024,6.487061521882616,7.034030662798008,5.515558627006809,4.4382009485592535,1.9792739287194125,2.978020460047574,2.310141406644813,2.043440399309318,1.571721499345963,1.7264234797226963,3.643461610465181,3.0023449110949025,1.7797323935079394,1.7507960957224815,3,10.0
7,1998,24.5,-81.8,90,2,981,Georges,Monroe,FL,12087,7.37,313.55,"Monroe, FL",28208.84,52382.0,1996.0,1997.0,1999.0,2000.0,2001.0,6.2,5.86,14.89,11.29,24428.11,25659.03,28535.08,31506.09,32496.03,48716.0,50528.0,52040.0,53458.0,53881.0,5.0389489813170085,9.937281339162087,1.1565168932859402,10.41178086761978,3.1420592018876308,3.719517201740701,3.669252691576948,-0.6528960329884311,2.724827056110684,0.7912753937670695,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.533207547169811,3.1686,3.3162264150943392,5.841428571428572,8.74767857142857,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,7.7380660344615935,6.529043543798591,4.455538857543472,7.039608155837551,7.480179043654286,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,3.2395563022306115,3.7935124468376062,2.003655065111655,2.899257141463298,1.5991199393227566,2,11.5
7,1998,30.4,-88.9,90,2,964,Georges,Harrison,MS,28047,5.31,256.11,"Harrison, MS",42621.37,119120.0,1996.0,1997.0,1999.0,2000.0,2001.0,4.08,5.74,5.58,4.21,37238.88,39177.91,45767.25,48670.64,48573.83,111527.0,115917.0,124321.0,125250.0,124551.0,5.207004077458845,8.789289678801138,7.3809922111841955,6.343815719755938,-0.198908417888069,3.936266554287303,2.7631840023465064,4.366185359301545,0.7472591114936334,-0.5580838323353293,3.910413223140496,4.136207935710698,3.731761066158972,5.030629011553273,5.296076433121019,4.278913043478261,4.826,5.2034782608695656,3.338909090909091,4.555090909090909,5.9181799451790145,5.67333804989684,4.172023912178539,6.403462970777069,6.403462970777069,5.73888990154406,5.943838920992333,3.338195562949884,4.79063479364491,6.5536493218878595,2.043440399309318,2.310141406644813,1.571721499345963,1.7682218592596166,-0.7984340369551264,1.8183165665511256,1.8589885686356458,1.709209723182993,0.5236013235349743,-1.7896295567344438,2,11.5
8,1999,33.8,-78.0,90,2,956,Floyd,Brunswick,NC,37019,6.14,252.09,"Brunswick, NC",15674.26,31502.0,1997.0,1998.0,2000.0,2001.0,2002.0,7.2,8.12,5.06,3.59,13194.24,14579.64,16879.83,18605.27,18911.24,28428.0,30220.0,32931.0,33553.0,33482.0,10.500036379511055,7.507867135265349,7.691399785380628,10.221903893581857,1.644534048686212,6.303644294357675,4.242223692918596,4.5362199225446,1.8887977893170569,-0.2116055196256668,3.731761066158972,3.910413223140496,5.030629011553273,5.296076433121019,3.7197375105842507,3.7980459770114945,4.127529411764706,5.6388421052631585,5.185773195876289,2.960918367346939,4.172023912178539,5.9181799451790145,6.403462970777069,5.156266175824974,5.156266175824974,4.4382009485592535,5.515558627006809,6.134111125373904,4.9290063782815885,0.6596082437379637,1.571721499345963,2.043440399309318,1.7682218592596166,-0.7984340369551264,-0.16351739514471955,1.7507960957224815,1.7797323935079394,1.1283507120776723,-2.1899508102848424,-0.2752661257111593,2,12.1
13,2003,34.9,-76.2,90,2,957,Isabel,Carteret,NC,37031,4.73,214.98,"Carteret, NC",17994.53,31848.0,2001.0,2002.0,2004.0,2005.0,2006.0,3.61,8.95,22.29,17.93,16472.39,16838.54,19375.86,20605.54,22276.32,30882.0,31139.0,33031.0,34091.0,35137.0,2.2228104118467416,6.865143890147234,7.676388324674231,6.34645378321272,8.108401915213086,0.832199987047471,2.2768875044156847,3.7145189650841495,3.2091065968332777,3.068258484644041,3.0677760189948557,3.7197375105842507,6.111188540456833,8.576814591951862,7.005342105263158,2.1795959595959595,2.960918367346939,5.103434343434343,7.498888888888889,8.108686868686869,4.4679892811357105,2.00348196708996,6.06486269082851,4.53742057975767,4.53742057975767,3.7087392886398125,0.6596082437379637,7.323197415702111,6.033530101243534,5.762070276856477,0.3260383649668137,-0.16351739514471955,1.4859472859350096,1.8161131200591656,1.5786749346127362,0.057358928735225446,-0.2752661257111593,2.107865127045935,1.9222730640232455,2.1445571404007233,2,9.3
