# in Season,Year,Latitude,Longitude,Max Winds (kt),Category at Landfall,Central Prssure (mb),Storm Name,Month,County,State,Max Category,Adjusted Costs (Billions)
3,1983,29.1,-95.1,100,3,962,Alicia,8,Galveston,TX,3,9.4
5,1985,30.4,-89.2,100,3,959,Elena,9,Harrison,MS,3,3.8
12,1985,29.5,-91.4,75,1,971,Juan,10,St. Mary,LA,1,4.3
11,1989,32.8,-79.8,120,4,934,Hugo,9,Charleston,SC,4,22.7
3,1991,41.2,-71.6,90,2,962,Bob,8,South,RI,2,3.5
4,1992,25.5,-80.3,145,5,922,Andrew,8,Miami-Dade,FL,5,60.2
4,1992,29.6,-91.5,100,3,956,Andrew,8,St. Mary,LA,5,60.2
17,1995,30.3,-87.1,100,3,942,Opal,10,Escambia,FL,3,9.6
6,1996,33.9,-78.0,100,3,954,Fran,9,Brunswick,NC,3,10.0
7,1998,24.5,-81.8,90,2,981,Georges,9,Monroe,FL,2,11.5
7,1998,30.4,-88.9,90,2,964,Georges,9,Harrison,MS,2,11.5
8,1999,33.8,-78.0,90,2,956,Floyd,9,Brunswick,NC,2,12.1
13,2003,34.9,-76.2,90,2,957,Isabel,9,Carteret,NC,2,9.3
3,2004,26.6,-82.2,130,4,941,Charley,8,Lee,FL,4,26.6
3,2004,26.9,-82.1,125,4,942,Charley,8,Charlotte,FL,4,26.6
3,2004,33.0,-79.4,70,1,992,Charley,8,Charleston,SC,4,26.6
3,2004,33.8,-78.7,65,1,997,Charley,8,Horry,SC,4,26.6
6,2004,27.2,-80.2,90,2,960,Frances,9,Martin,FL,2,16.3
9,2004,30.2,-87.9,105,3,946,Ivan,9,Baldwin,AL,3,34.0
11,2004,27.2,-80.2,105,3,950,Jeanne,9,Martin,FL,3,12.4
4,2005,30.4,-87.1,105,3,946,Dennis,7,Santa Rosa,FL,3,4.0
12,2005,26.0,-80.1,70,1,984,Katrina,8,Broward,FL,3,200.0
12,2005,29.3,-89.6,110,3,920,Katrina,8,Plaquemines,LA,3,200.0
12,2005,30.2,-89.6,105,3,928,Katrina,8,St. Tammany,LA,3,200.0
18,2005,29.7,-93.7,100,3,937,Rita,9,Cameron,LA,3,29.2
25,2005,25.9,-81.7,105,3,950,Wilma,10,Collier,FL,3,30.0
7,2008,29.2,-90.7,90,2,954,Gustav,9,Terrebonne,LA,2,8.6
9,2008,29.3,-94.7,95,2,950,Ike,9,Galveston,TX,2,43.2
9,2011,34.7,-76.6,75,1,952,Irene,8,Carteret,NC,1,18.8
9,2012,28.9,-89.4,70,1,967,Isaac,8,Plaquemines,LA,1,3.8
9,2012,29.2,-90.2,70,1,966,Isaac,8,Lafourche,LA,1,3.8
14,2016,33.0,-79.5,85,2,963,Matthew,10,Charleston,SC,1,13.0
9,2017,28.0,-96.9,115,4,937,Harvey,8,Aransas,TX,4,160.0
9,2017,28.2,-97.1,105,3,948,Harvey,8,Refugio,TX,4,160.0
11,2017,24.7,-81.5,115,4,931,Irma,9,Monroe,FL,4,64.0
11,2017,25.9,-81.7,100,3,936,Irma,9,Collier,FL,4,64.0
6,2018,34.2,-77.8,80,1,956,Florence,9,New Hanover,NC,1,30.0
14,2018,30.0,-85.5,140,5,919,Michael,10,Bay,FL,5,31.0
9,2020,33.9,-78.5,80,1,986,Isaias,8,Brunswick,NC,1,5.8
13,2020,29.8,-93.3,130,4,939,Laura,8,Cameron,LA,4,28.1
19,2020,30.3,-87.7,95,2,965,Sally,9,Baldwin,AL,2,8.8
26,2020,29.8,-93.1,85,2,970,Delta,10,Cameron,LA,2,3.5
28,2020,29.2,-90.6,100,3,970,Zeta,10,Terrebonne,LA,2,5.3
9,2021,29.1,-90.2,130,4,931,Ida,8,Lafourche,LA,4,84.6
9,2022,26.7,-82.2,130,4,941,Ian,9,Lee,FL,4,118.5
9,2022,24.6,-82.9,110,3,952,Ian,9,Monroe,FL,4,118.5
9,2022,26.7,-82.2,130,4,941,Ian,9,Lee,FL,4,118.5
9,2022,26.8,-82.0,125,4,945,Ian,9,Charlotte,FL,4,118.5
9,2022,33.3,-79.2,70,1,978,Ian,9,Georgetown,SC,4,118.5
9,2023,29.9,-83.6,100,3,950,Idalia,8,Taylor,FL,3,3.6
