FIPS code,County & State,Year,Total Jobs
01001,"Autauga, AL",2013,16475
01001,"Autauga, AL",2020,18615
01001,"Autauga, AL",1986,9410
01001,"Autauga, AL",1984,9305
01001,"Autauga, AL",1989,11165
01001,"Autauga, AL",2014,16862
01001,"Autauga, AL",2012,16421
01001,"Autauga, AL",2005,17404
01001,"Autauga, AL",2001,16211
01001,"Autauga, AL",2018,18184
01001,"Autauga, AL",1992,12099
01001,"Autauga, AL",1983,8975
01001,"Autauga, AL",2022,20261
01001,"Autauga, AL",2002,15944
01001,"Autauga, AL",1981,9636
01001,"Autauga, AL",1982,9133
01001,"Autauga, AL",1994,12751
01001,"Autauga, AL",1993,12523
01001,"Autauga, AL",2004,16884
01001,"Autauga, AL",1991,11767
01001,"Autauga, AL",1988,10740
01001,"Autauga, AL",2019,18316
01001,"Autauga, AL",2007,17996
01001,"Autauga, AL",1996,13644
01001,"Autauga, AL",2011,17299
01001,"Autauga, AL",2015,17279
01001,"Autauga, AL",2021,19358
01001,"Autauga, AL",2016,17437
01001,"Autauga, AL",1995,13033
01001,"Autauga, AL",2010,16984
01001,"Autauga, AL",2000,16138
01001,"Autauga, AL",1997,14088
01001,"Autauga, AL",1999,15627
01001,"Autauga, AL",1987,10177
01001,"Autauga, AL",1990,11400
01001,"Autauga, AL",2003,16484
01001,"Autauga, AL",1980,11255
01001,"Autauga, AL",2006,17189
01001,"Autauga, AL",1985,9311
01001,"Autauga, AL",2009,17482
01001,"Autauga, AL",2017,17807
01001,"Autauga, AL",2008,17800
01001,"Autauga, AL",1998,15237
01003,"Baldwin, AL",2013,96460
01003,"Baldwin, AL",1988,37654
01003,"Baldwin, AL",1991,42388
01003,"Baldwin, AL",2004,77693
01003,"Baldwin, AL",1993,47280
01003,"Baldwin, AL",1994,50770
01003,"Baldwin, AL",1982,29388
01003,"Baldwin, AL",1981,28722
01003,"Baldwin, AL",2002,71895
01003,"Baldwin, AL",2022,131489
01003,"Baldwin, AL",1983,31306
01003,"Baldwin, AL",1992,44246
01003,"Baldwin, AL",2018,115698
01003,"Baldwin, AL",2001,70661
01003,"Baldwin, AL",2005,82614
01003,"Baldwin, AL",2012,93218
01003,"Baldwin, AL",2014,99818
01003,"Baldwin, AL",1989,38889
01003,"Baldwin, AL",1984,33057
01003,"Baldwin, AL",1986,34674
01003,"Baldwin, AL",2020,117238
01003,"Baldwin, AL",1998,64758
01003,"Baldwin, AL",2008,92682
01003,"Baldwin, AL",2017,111634
01003,"Baldwin, AL",2009,89326
01003,"Baldwin, AL",1985,33969
01003,"Baldwin, AL",2006,87769
01003,"Baldwin, AL",1980,27777
01003,"Baldwin, AL",2003,73848
01003,"Baldwin, AL",1990,40545
01003,"Baldwin, AL",1987,36081
01003,"Baldwin, AL",1999,67472
01003,"Baldwin, AL",1997,60806
01003,"Baldwin, AL",2000,69423
01003,"Baldwin, AL",2010,89247
01003,"Baldwin, AL",1995,54511
01003,"Baldwin, AL",2016,107817
01003,"Baldwin, AL",2021,124924
01003,"Baldwin, AL",2015,103921
01003,"Baldwin, AL",2011,91996
01003,"Baldwin, AL",1996,56932
01003,"Baldwin, AL",2007,92730
01003,"Baldwin, AL",2019,116997
01005,"Barbour, AL",2013,12145
01005,"Barbour, AL",2020,11640
01005,"Barbour, AL",1986,10893
01005,"Barbour, AL",1984,10373
01005,"Barbour, AL",1989,11651
01005,"Barbour, AL",2014,11937
01005,"Barbour, AL",2012,12251
01005,"Barbour, AL",2005,14363
01005,"Barbour, AL",2001,15239
01005,"Barbour, AL",2018,11508
01005,"Barbour, AL",1992,12202
01005,"Barbour, AL",1983,9901
01005,"Barbour, AL",2022,11878
01005,"Barbour, AL",2002,14776
01005,"Barbour, AL",1981,9640
01005,"Barbour, AL",1982,9323
01005,"Barbour, AL",1994,12994
01005,"Barbour, AL",1993,12825
01005,"Barbour, AL",2004,13904
01005,"Barbour, AL",1991,12171
01005,"Barbour, AL",1988,11475
01005,"Barbour, AL",2019,11828
01005,"Barbour, AL",2007,14055
01005,"Barbour, AL",1996,12818
01005,"Barbour, AL",2011,12359
01005,"Barbour, AL",2015,12055
