#,Date,Season,Time,Latitude,Lat,Longitude,Long,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),OCI (mb),Size (nm),States Affected,Name
3,8/18/83,1983,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,Alicia
10,9/13/84,1984,0700Z,33.9,33.9N,-78,78.0W,95,2,15,979,----,---,NC2,Diana
2,7/25/85,1985,0300Z,32.2,32.2N,-80.5,80.5W,65,1,20,1003,----,---,SC1,Bob
4,8/15/85,1985,1630Z,29.6,29.6N,-92.7,92.7W,80,1,15,987,----,---,LA1,Danny
5,9/2/85,1985,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",Elena
9,9/27/85,1985,0530Z,35.2,35.2N,-75.6,75.6W,90,2,15,942,----,---,NC3,Gloria
9,9/27/85,1985,1600Z,40.6,40.6N,-73.3,73.3W,75,1,10,961,----,---,"NY3,CT2,NH2,ME1",Gloria
12,10/29/85,1985,1100Z,29.5,29.5N,-91.4,91.4W,75,1,15,971,----,---,LA1,Juan
13,11/21/85,1985,2230Z,30,30.0N,-85.4,85.4W,85,2,10,967,----,---,"AFL2,IGA1",Kate
2,6/26/86,1986,0900Z,29.5,29.5N,-94.2,94.2W,75,1,10,990,----,---,CTX1,Bonnie
5,8/17/86,1986,1400Z,34.7,34.7N,-76.5,76.5W,65,1,15,990,----,---,NC1,Charley
13,10/12/87,1987,2100Z,25.1,25.1N,-80.5,80.5W,65,1,10,993,----,---,BFL,Floyd
7,9/9/88,1988,2300Z,28.5,28.5N,-89.3,89.3W,70,1,15,984,----,---,LA1,Florence
4,8/1/89,1989,1300Z,29.6,29.6N,-94.4,94.4W,70,1,15,986,----,---,CTX1,Chantal
11,9/22/89,1989,0400Z,32.8,32.8N,-79.8,79.8W,120,4,20,934,----,---,"SC4,INC1",Hugo
14,10/16/89,1989,0030Z,29.2,29.2N,-95,95.0W,75,1,10,983,----,---,CTX1,Jerry
3,8/19/91,1991,1720Z,41.2,41.2N,-71.6,71.6W,90,2,25,962,----,---,"RI2,MA2,NY2,CT2",Bob
4,8/24/92,1992,0905Z,25.5,25.5N,-80.3,80.3W,145,5,10,922,----,---,"CFL5,BFL4",Andrew
4,8/26/92,1992,0830Z,29.6,29.6N,-91.5,91.5W,100,3,20,956,----,---,LA3,Andrew
5,8/31/93,1993,2100Z,35.2,35.2N,-75.1,75.1W,100,3,30,961,----,---,NC3,Emily
5,8/2/95,1995,0615Z,27.7,27.7N,-80.3,80.3W,75,1,40,984,----,---,CFL1,Erin
5,8/3/95,1995,1330Z,30,30.0N,-86.8,86.8W,85,2,15,---,----,---,AFL2,Erin
5,8/3/95,1995,1600Z,30.3,30.3N,-87.2,87.2W,75,1,10,973,----,---,AFL1,Erin
17,10/4/95,1995,2200Z,30.3,30.3N,-87.1,87.1W,100,3,50,942,----,---,"AFL3,IAL1",Opal
2,7/12/96,1996,2000Z,34.3,34.3N,-77.8,77.8W,90,2,40,974,----,---,NC2,Betha
6,9/6/96,1996,0030Z,33.9,33.9N,-78,78.0W,100,3,40,954,----,---,NC3,Fran
5,7/18/97,1997,0900Z,29.3,29.3N,-89.7,89.7W,65,1,10,989,----,---,LA1,Danny
5,7/19/97,1997,1000Z,30.2,30.2N,-88.1,88.1W,70,1,10,984,----,---,LA1,Danny
5,7/19/97,1997,1800Z,30.4,30.4N,-87.9,87.9W,65,1,10,986,----,---,AL1,Danny
2,8/27/98,1998,0400Z,34.4,34.4N,-77.7,77.7W,95,2,60,964,----,---,NC2,Bonnie
5,9/3/98,1998,0600Z,30.1,30.1N,-85.7,85.7W,70,1,70,987,----,---,AFL1,Earl
7,9/25/98,1998,1530Z,24.5,24.5N,-81.8,81.8W,90,2,25,981,----,---,BFL2,Georges
7,9/28/98,1998,1130Z,30.4,30.4N,-88.9,88.9W,90,2,80,964,----,---,MS2,Georges
3,8/23/99,1999,0000Z,26.9,26.9N,-97.4,97.4W,100,3,10,951,----,---,ATX3,Bret
8,9/16/99,1999,0630Z,33.8,33.8N,-78,78.0W,90,2,35,956,----,---,NC2,Floyd
13,10/15/99,1999,1300Z,24.6,24.6N,-81.6,81.6W,65,1,30,987,----,---,BFL1,Irene
13,10/15/99,1999,2000Z,25.3,25.3N,-81.1,81.1W,70,1,40,987,----,---,BFL1,Irene
13,10/18/99,1999,0600Z,34.8,34.8N,-75.2,75.2W,95,2,30,964,----,---,NC2,Irene
13,10/3/02,2002,1300Z,29.5,29.5N,-92.2,92.2W,80,1,10,963,----,---,LA1,Lili
4,7/15/03,2003,1530Z,28.3,28.3N,-96.2,96.2W,80,1,15,979,----,---,BTX1,Claudette
13,9/18/03,2003,1700Z,34.9,34.9N,-76.2,76.2W,90,2,40,957,----,---,NC2,Isabel
1,8/3/04,2004,1700Z,35.1,35.1N,-75.4,75.4W,70,1,15,972,----,---,NC1,Alex
3,8/13/04,2004,1945Z,26.6,26.6N,-82.2,82.2W,130,4,5,941,----,---,BFL4,Charley
